,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Time_Category
984,Thursday,31-50,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
985,Friday,Unknown,Female,Elementary school,Owner,5-10yr,Automobile,Owner,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,3,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Serious Injury,night
986,Friday,Unknown,Female,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,3,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Driving carelessly,Serious Injury,night
987,Friday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,3,Reversing,Passenger,Female,Under 18,3,Not a Pedestrian,Changing lane to the right,Serious Injury,night
988,Sunday,31-50,Male,Elementary school,Owner,5-10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,afternoon
989,Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
990,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
991,Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner, Church areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Parked,Passenger,Female,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
992,Friday,31-50,Unknown,High school,Employee,1-2yr,Public (> 45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
993,Wednesday,Over 51,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,Unknown or other,Driving carelessly,Serious Injury,evening
994,Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Collision with roadside objects,2,1,Unknown,na,na,na,na,Not a Pedestrian,Overtaking,Serious Injury,evening
995,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,night
996,Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,night
997,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner, Church areas,Undivided Two way,Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Stopping,na,na,na,na,Not a Pedestrian,Other,Serious Injury,evening
998,Tuesday,Over 51,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,2,Unknown or other,Changing lane to the right,Slight Injury,evening
999,Tuesday,31-50,Male,Elementary school,Employee,1-2yr,Stationwagen,Owner,Other,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Overtaking,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
1000,Monday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Overtaking,Slight Injury,morning
1001,Monday,Over 51,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner, Church areas,Unknown,Tangent road with mountainous terrain and,No junction,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,na,na,na,na,Not a Pedestrian,Other,Slight Injury,morning
1002,Thursday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Driving to the left,Slight Injury,evening
1003,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,morning
1004,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
1005,Sunday,31-50,Unknown,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Moving Backward,Serious Injury,afternoon
1006,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,Unknown,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Moving Backward,Driver or rider,Male,Over 51,2,Not a Pedestrian,Other,Serious Injury,afternoon
1007,Sunday,Over 51,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Governmental,Other,Double carriageway (median),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,afternoon
1008,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,afternoon
1009,Sunday,31-50,Male,High school,Employee,Above 10yr,Automobile,Organization,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
1010,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Other,Organization,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Male,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury,afternoon
1011,Friday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Unknown,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,morning
1012,Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,morning
1013,Saturday,18-30,Male,Elementary school,Employee,1-2yr,Motorcycle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Changing lane to the left,Slight Injury,night
1014,Saturday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Pedestrian,Female,Under 18,3,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,Slight Injury,night
1015,Saturday,31-50,Male,Above high school,Owner,1-2yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,2,Turnover,Pedestrian,Female,Under 18,2,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Driving at high speed,Slight Injury,night
1016,Saturday,18-30,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,  Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,night
1017,Tuesday,31-50,Male,Above high school,Employee,1-2yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,morning
1018,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Other,Slight Injury,morning
1019,Friday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Passenger,Male,31-50,2,Not a Pedestrian,No priority to vehicle,Slight Injury,evening
1020,Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Office areas,other,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
1021,Wednesday,18-30,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,2,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Other,Serious Injury,afternoon
1022,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Serious Injury,afternoon
1023,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Serious Injury,night
1024,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,morning
1025,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Industrial areas,other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,morning
1026,Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside-parked vehicles,3,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,morning
1027,Wednesday,31-50,Male,Above high school,Owner,1-2yr,Public (13?45 seats),Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,morning
1028,Wednesday,18-30,Male,Above high school,Employee,No Licence,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Normal,Collision with animals,3,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,morning
1029,Saturday,Unknown,Female,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,Office areas,Double carriageway (median),Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,evening
1030,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,evening
1031,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Escarpments,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Passenger,Male,Under 18,3,Not a Pedestrian,Other,Serious Injury,morning
1032,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Moving Backward,Passenger,Male,Under 18,3,Not a Pedestrian,No distancing,Serious Injury,morning
1033,Thursday,Under 18,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,night
1034,Thursday,Under 18,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,night
